latitude,longitude,name,desc,color,source,precision
43.7312469,-79.7618027,"20 GREAT LAKES DRIVE, BRAMPTON, ON, L6R2K7","20 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",teal,Bing Maps,address
43.7312012,-79.6005707,"106 Humber College Blvd Rexdale, ON","106 Humber College Blvd, Etobicoke, ON M9V 4E4, Canada",gold,Bing Maps,address
43.7311783,-79.5973282,"89 Humber College Boulevard Etobicoke, ON","89 Humber College Blvd, Etobicoke, ON M9V 4B8, Canada",gold,Bing Maps,address
43.7311401,-79.4040833,"3320 YONGE ST, TORONTO, ON, M4N2M4","3320 Yonge St, Toronto, ON M4N 2M4, Canada",teal,Bing Maps,address
43.7306595,-79.7602234,"5 Great Lakes Drive Brampton, ON, L6R2R8","5 Great Lakes Dr, Brampton, ON L6R 2S5, Canada",red,Bing Maps,address
43.7299156,-79.7906036,"230 Sandalwood Pkwy E, Brampton, ON L6Z 1R3","230 Sandalwood Pkwy E, Brampton, ON L6Z 1R3, Canada",green,Bing Maps,address
43.729866,-79.7484512,"860 NORTH PARK DRIVE, BRAMPTON, ON, L6S4N5","860 N Park Dr, Brampton, ON L6S 4N5, Canada",teal,Bing Maps,address
43.7297401,-79.6045456,"205 Humber College B, Toronto","205 Humber College Blvd, Etobicoke, ON M9W, Canada",blue,Bing Maps,address
43.7297401,-79.6045456,"205 HUMBER COLLEGE BOULEVARD, TORONTO, ON, M9W5L7","205 Humber College Blvd, Etobicoke, ON M9W, Canada",teal,Bing Maps,address
43.7297249,-79.604393,"203 Humber College B, Toronto","203 Humber College Blvd, Etobicoke, ON M9W, Canada",blue,Bing Maps,address
43.7280884,-79.4177017,"1705 AVENUE ROAD, TORONTO, ON, M5M3Y5","1705 Avenue Rd, North York, ON M5M 3Y5, Canada",teal,Bing Maps,address
43.7280312,-79.4812622,"1090 Wilson Avenue, North York, ON, M3K1G6","1090 Wilson Ave, North York, ON M3K 1G6, Canada",teal,Bing Maps,address
43.7276459,-79.7944336,"180 SANDALWOOD PKWY, BRAMPTON, ON, L6Z1Y4","180 Sandalwood Pkwy E, Brampton, ON L6Z 1Y4, Canada",teal,Bing Maps,address
43.7276459,-79.7944336,"180 Sandalwood Parkway East, Brampton, ON, L6Z1Y4","180 Sandalwood Pkwy E, Brampton, ON L6Z 1Y4, Canada",teal,Bing Maps,address
43.7268181,-79.7956009,"164 Sandalwood Parkway E, Brampton","164 Sandalwood Pkwy E, Brampton, ON L6Z 1Y5, Canada",blue,Bing Maps,address
43.7261963,-79.4834976,"1115 WILSON AVE, TORONTO, ON, M3M1H2","1115 Wilson Ave, North York, ON M3M 1H2, Canada",teal,Bing Maps,address
43.7261162,-79.7962646,"150 Sandalwood Parkway East, Brampton, ON L6Z 1Y5","150 Sandalwood Pkwy E, Brampton, ON L6Z 1Y5, Canada",green,Bing Maps,address
43.7248917,-79.7425079,"1235 Williams Parkway,  Brampton, ON, L6S4S4","1235 Williams Pkwy E, Brampton, ON L6S, Canada",red,Bing Maps,address
43.7248917,-79.7425079,"1235 Williams Parkway  Brampton, ON, L6S4S4","1235 Williams Pkwy E, Brampton, ON L6S, Canada",red,Bing Maps,address
43.7239876,-79.8118286,"10908 Hurontario St Unit F1, Brampton, ON L7A 3R9","10908 Hurontario St, Brampton, ON L7A 3R9, Canada",green,Bing Maps,address
43.7237396,-79.6687088,"2645 Steeles Ave E, Brampton","2645 Steeles Ave E, Brampton, ON L6T 4L7, Canada",blue,Bing Maps,address
43.7235107,-79.5598984,"2428 ISLINGTON AVE, ETOBICOKE, ON, M9W3X8","2428 Islington Ave, Etobicoke, ON M9W 3X7, Canada",teal,Bing Maps,address
43.7215805,-79.5960007,"330 Queen's Plate Dr. Etobicoke, ON","330 Queens Plate Dr, Etobicoke, ON M9W 7J7, Canada",gold,Bing Maps,address
43.7212181,-79.6968842,"700 Balmoral Drive Brampton, ON, L6T1X2","700 Balmoral Dr, Brampton, ON L6T 1X2, Canada",red,Bing Maps,address
43.7212181,-79.6968842,"700 Balmoral Ave Brampton, ON","700 Balmoral Dr, Brampton, ON L6T 1X2, Canada",gold,Bing Maps,address
43.7206192,-79.5945816,"600 Queens Plate Dr, Etobicoke","Queens Plate Dr, Etobicoke, ON M9W, Canada",blue,Bing Maps,street
43.7202606,-79.5128021,"1700 WILSON AVE, DOWNSVIEW, ON, M3L1B2","1700 Wilson Ave, North York, ON M3L, Canada",teal,Bing Maps,address
43.7201729,-79.7154312,"17 Kings Cross Rd, Brampton","17 Kings Cross Rd, Brampton, ON L6T 3V5, Canada",blue,Bing Maps,address
43.719594,-79.772623,"281 Richvale Dr, Brampton","281 Richvale Drive South, Brampton, ON L6Z 4W5, Canada",blue,Google Maps,address
43.7195816,-79.7735291,"281 Richvale Dr, Brampton","281 Richvale Dr S, Brampton, ON L6Z 4W5, Canada",blue,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Dr, Mississauga, ON L4T 2T9","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",green,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Dr, Mississauga","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",blue,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Drive Mississauga, ON, L4T2T9","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",red,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Drive Mississauga, ON","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",gold,Bing Maps,address
43.7193985,-79.4301682,"3090 Bathurst Street, North York, ON, M6A2A2","3090 Bathurst St, North York, ON M6A 2A1, Canada",teal,Bing Maps,address
43.7183189,-79.6852646,"8155 Torbram Road, Brampton","8155 Torbram Rd, Brampton, ON L6T 5C5, Canada",blue,Bing Maps,address
43.7178116,-79.5970154,"500 Rexdale Blvd, Etobicoke, ON M9W 6K5","500 Rexdale Blvd, Etobicoke, ON M9W 6K5, Canada",green,Bing Maps,address
43.7175484,-79.4550171,"3169 DUFFERIN ST, TORONTO, ON, M6A2S9","3169 Dufferin St, North York, ON M6A, Canada",teal,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Drive, Brampton, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",teal,Bing Maps,address
43.7172623,-79.7234192,"25 PEEL CENTRE DRIVE, BRAMPTON, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",teal,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Dr Brampton, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",red,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Dr, Brampton, ON L6T 3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",green,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Dr, Brampton","25 Peel Centre Dr, Brampton, ON L6T, Canada",blue,Bing Maps,address
43.7167282,-79.4287796,"2953 BATHURST ST, TORONTO, ON, M6B3B2","2953 Bathurst St, North York, ON M6B, Canada",teal,Bing Maps,address
43.7166481,-79.724556,"52 PEEL CENTRE DR, BRAMPTON, ON, L6T0E2","52 Peel Centre Dr, Brampton, ON L6T 0E2, Canada",teal,Bing Maps,address
43.7166252,-79.7245789,"54 Peel Centre Drive Brampton, ON, L6T0E2","54 Peel Centre Dr, Brampton, ON L6T 0E2, Canada",red,Bing Maps,address
43.7164688,-79.6347809,"7145 GOREWAY DR, MISSISSAUGA, ON, L4T2T5","7145 Goreway Dr, Mississauga, ON L4T 2T5, Canada",teal,Bing Maps,address
43.7159309,-79.5550537,"2291 Islington Ave, Toronto","2291 Islington Ave, Etobicoke, ON M9W 3W6, Canada",blue,Bing Maps,address
43.7158623,-79.7254028,"100 Peel Ctr Dr Bramalea City, Brampton, ON L6T 4G8","100 Peel Centre Dr, Brampton, ON L6T 4G8, Canada",green,Bing Maps,address
